시군구코드,법정동코드,행정동코드,시도명,시군구명,법정동명,행정동명
11740,10300,526,서울특별시,강동구,상일동,상일제2동
11740,10300,525,서울특별시,강동구,상일동,상일제1동
11290,10300,620,서울특별시,성북구,돈암동,정릉제1동
11530,11200,800,서울특별시,구로구,항동,항동
11305,10300,635,서울특별시,강북구,수유동,수유3동
11305,10200,595,서울특별시,강북구,번동,번1동
11305,10200,608,서울특별시,강북구,번동,번3동
11305,10300,625,서울특별시,강북구,수유동,수유2동
11305,10200,603,서울특별시,강북구,번동,번2동
11305,10300,615,서울특별시,강북구,수유동,수유1동
11410,11200,555,서울특별시,서대문구,대현동,북아현동
11500,10500,630,서울특별시,강서구,마곡동,방화제1동
11500,10500,620,서울특별시,강서구,마곡동,공항동
11500,10900,620,서울특별시,강서구,방화동,공항동
11500,10800,630,서울특별시,강서구,공항동,방화제1동
11440,10200,610,서울특별시,마포구,공덕동,염리동
11710,10800,647,서울특별시,송파구,문정동,위례동
11710,11300,647,서울특별시,송파구,거여동,위례동
11710,10900,647,서울특별시,송파구,장지동,위례동
11500,10400,510,서울특별시,강서구,가양동,염창동
11230,10400,600,서울특별시,동대문구,전농동,답십리제1동
11500,10500,611,서울특별시,강서구,마곡동,발산제1동
11140,16200,665,서울특별시,중구,신당동,동화동
11140,16400,615,서울특별시,중구,무학동,신당동
11140,16200,625,서울특별시,중구,신당동,다산동
11140,16200,635,서울특별시,중구,신당동,약수동
11140,16300,615,서울특별시,중구,흥인동,신당동
11140,16200,615,서울특별시,중구,신당동,신당동
11140,16200,645,서울특별시,중구,신당동,청구동
11110,17300,650,서울특별시,종로구,명륜3가,혜화동
11110,13000,650,서울특별시,종로구,와룡동,혜화동
11350,10300,595,서울특별시,노원구,공릉동,공릉1동
11110,11900,615,서울특별시,종로구,세종로,종로1.2.3.4가동
11230,10100,536,서울특별시,동대문구,신설동,용신동
11230,10200,536,서울특별시,동대문구,용두동,용신동
11230,10300,545,서울특별시,동대문구,제기동,제기동
11680,11000,545,서울특별시,강남구,압구정동,압구정동
11680,11400,670,서울특별시,강남구,일원동,개포2동
11680,10400,565,서울특별시,강남구,청담동,청담동
11680,10700,545,서울특별시,강남구,신사동,압구정동
11350,10600,625,서울특별시,노원구,중계동,중계제23동
11110,10500,515,서울특별시,종로구,창성동,청운효자동
11110,10300,515,서울특별시,종로구,궁정동,청운효자동
11110,11900,515,서울특별시,종로구,세종로,청운효자동
11110,10800,515,서울특별시,종로구,통인동,청운효자동
11110,10400,515,서울특별시,종로구,효자동,청운효자동
11110,11000,515,서울특별시,종로구,누하동,청운효자동
11110,10100,515,서울특별시,종로구,청운동,청운효자동
11110,10200,515,서울특별시,종로구,신교동,청운효자동
11110,11100,515,서울특별시,종로구,옥인동,청운효자동
11110,10900,515,서울특별시,종로구,누상동,청운효자동
11620,10200,775,서울특별시,관악구,신림동,난곡동
11620,10200,745,서울특별시,관악구,신림동,삼성동
11620,10200,655,서울특별시,관악구,신림동,신원동
11560,10600,535,서울특별시,영등포구,영등포동5가,영등포동
11560,11900,605,서울특별시,영등포구,문래동1가,문래동
11620,10100,615,서울특별시,관악구,봉천동,중앙동
11620,10100,595,서울특별시,관악구,봉천동,청룡동
11560,12200,605,서울특별시,영등포구,문래동4가,문래동
11560,12300,605,서울특별시,영등포구,문래동5가,문래동
11620,10100,585,서울특별시,관악구,봉천동,낙성대동
11620,10100,525,서울특별시,관악구,봉천동,보래매동
11560,10900,535,서울특별시,영등포구,영등포동8가,영등포동
11560,12400,605,서울특별시,영등포구,문래동6가,문래동
11560,12000,605,서울특별시,영등포구,문래동2가,문래동
11620,10100,605,서울특별시,관악구,봉천동,은천동
11620,10200,765,서울특별시,관악구,신림동,미성동
11560,10200,535,서울특별시,영등포구,영등포동1가,영등포동
11560,10400,535,서울특별시,영등포구,영등포동3가,영등포동
11560,11800,585,서울특별시,영등포구,도림동,도림동
11560,10100,535,서울특별시,영등포구,영등포동,영등포동
11560,12100,605,서울특별시,영등포구,문래동3가,문래동
11560,13200,515,서울특별시,영등포구,신길동,영등포본동
11620,10200,695,서울특별시,관악구,신림동,신림동
11620,10200,715,서울특별시,관악구,신림동,난향동
11620,10200,665,서울특별시,관악구,신림동,서림동
11560,10800,535,서울특별시,영등포구,영등포동7가,영등포동
11560,10100,515,서울특별시,영등포구,영등포동,영등포본동
11620,10200,645,서울특별시,관악구,신림동,서원동
11560,10500,535,서울특별시,영등포구,영등포동4가,영등포동
11560,10700,535,서울특별시,영등포구,영등포동6가,영등포동
11590,10600,630,서울특별시,동작구,동작동,사당제2동
11620,10100,575,서울특별시,관악구,봉천동,행운동
11620,10100,625,서울특별시,관악구,봉천동,인헌동
11620,10200,735,서울특별시,관악구,신림동,대학동
11620,10200,725,서울특별시,관악구,신림동,조원동
11620,10200,685,서울특별시,관악구,신림동,신사동
11620,10100,565,서울특별시,관악구,봉천동,성현동
11620,10100,545,서울특별시,관악구,봉천동,청림동
11590,10400,510,서울특별시,동작구,본동,노량진제1동
11560,10300,535,서울특별시,영등포구,영등포동2가,영등포동
11500,10600,615,서울특별시,강서구,내발산동,우장산동
11500,10300,615,서울특별시,강서구,화곡동,우장산동
11230,10200,535,서울특별시,동대문구,용두동,용두동
11200,10200,535,서울특별시,성동구,하왕십리동,왕십리도선동
11200,10100,535,서울특별시,성동구,상왕십리동,왕십리도선동
11200,11100,615,서울특별시,성동구,금호동3가,금호2.3가동
11200,10400,535,서울특별시,성동구,도선동,왕십리도선동
11200,11300,645,서울특별시,성동구,옥수동,옥수동
11200,10300,535,서울특별시,성동구,홍익동,왕십리도선동
11200,11000,615,서울특별시,성동구,금호동2가,금호2.3가동
11230,10700,705,서울특별시,동대문구,청량리동,청량리동
11740,10500,685,서울특별시,강동구,길동,길동
11305,10100,545,서울특별시,강북구,미아동,송중동
11170,12200,560,서울특별시,용산구,문배동,원효로제1동
11170,12800,625,서울특별시,용산구,한강로3가,한강로동
11305,10300,660,서울특별시,강북구,수유동,인수동
11305,10100,555,서울특별시,강북구,미아동,송천동
11170,11100,555,서울특별시,용산구,청파동3가,청파동
11305,10400,645,서울특별시,강북구,우이동,우이동
11170,12600,625,서울특별시,용산구,용산동3가,한강로동
11170,13100,685,서울특별시,용산구,한남동,한남동
11170,10900,555,서울특별시,용산구,청파동1가,청파동
11170,12700,625,서울특별시,용산구,용산동5가,한강로동
11305,10300,645,서울특별시,강북구,수유동,우이동
11170,12300,560,서울특별시,용산구,신계동,원효로제1동
11305,10100,575,서울특별시,강북구,미아동,삼각산동
11305,10100,535,서울특별시,강북구,미아동,미아동
11170,10800,555,서울특별시,용산구,서계동,청파동
11305,10100,534,서울특별시,강북구,미아동,삼양동
11170,12500,625,서울특별시,용산구,한강로2가,한강로동
11170,12400,625,서울특별시,용산구,한강로1가,한강로동
11170,11000,555,서울특별시,용산구,청파동2가,청파동
11380,10800,625,서울특별시,은평구,역촌동,역촌동
11410,10100,565,서울특별시,서대문구,충정로2가,충현동
11410,11400,585,서울특별시,서대문구,신촌동,신촌동
11410,10400,565,서울특별시,서대문구,미근동,충현동
11410,11500,585,서울특별시,서대문구,봉원동,신촌동
11410,11200,585,서울특별시,서대문구,대현동,신촌동
11410,11300,585,서울특별시,서대문구,대신동,신촌동
11410,11100,655,서울특별시,서대문구,홍제동,홍제제2동
11410,11700,615,서울특별시,서대문구,연희동,연희동
11410,11800,685,서울특별시,서대문구,홍은동,홍은제2동
11410,11600,585,서울특별시,서대문구,창천동,신촌동
11410,11000,555,서울특별시,서대문구,북아현동,북아현동
11410,10300,565,서울특별시,서대문구,합동,충현동
11410,11000,565,서울특별시,서대문구,북아현동,충현동
11410,10200,565,서울특별시,서대문구,충정로3가,충현동
11530,10300,595,서울특별시,구로구,가리봉동,가리봉동
11590,10500,605,서울특별시,동작구,흑석동,흑석동
11440,10900,555,서울특별시,마포구,염리동,아현동
11440,10200,555,서울특별시,마포구,공덕동,아현동
11440,11000,660,서울특별시,마포구,노고산동,서교동
11440,10100,565,서울특별시,마포구,아현동,공덕동
11440,10300,565,서울특별시,마포구,신공덕동,공덕동
11440,10100,555,서울특별시,마포구,아현동,아현동
11440,10400,565,서울특별시,마포구,도화동,공덕동
11440,10200,565,서울특별시,마포구,공덕동,공덕동
11440,12100,660,서울특별시,마포구,동교동,서교동
11215,10600,840,서울특별시,광진구,노유동,자양제3동
11350,10500,695,서울특별시,노원구,상계동,상계6.7동
11215,10600,847,서울특별시,광진구,노유동,자양제4동
11215,10500,847,서울특별시,광진구,자양동,자양제4동
11350,10500,665,서울특별시,노원구,상계동,상계3.4동
11260,10100,575,서울특별시,중랑구,면목동,면목제3.8동
11350,10300,605,서울특별시,노원구,공릉동,공릉1.3동
11260,10500,655,서울특별시,중랑구,망우동,망우본동
11260,10100,565,서울특별시,중랑구,면목동,면목본동
11290,11500,555,서울특별시,성북구,삼선동5가,삼선동
11290,10900,575,서울특별시,성북구,동소문동6가,동선동
11290,13500,705,서울특별시,성북구,종암동,종암동
11290,10700,525,서울특별시,성북구,동소문동4가,성북동
11290,10100,525,서울특별시,성북구,성북동,성북동
11290,11300,555,서울특별시,성북구,삼선동3가,삼선동
11290,10500,555,서울특별시,성북구,동소문동2가,삼선동
11290,11100,555,서울특별시,성북구,삼선동1가,삼선동
11290,12000,575,서울특별시,성북구,동선동5가,동선동
11290,11400,555,서울특별시,성북구,삼선동4가,삼선동
11290,13400,685,서울특별시,성북구,길음동,길음제2동
11290,10600,555,서울특별시,성북구,동소문동3가,삼선동
11290,10300,575,서울특별시,성북구,돈암동,동선동
11290,10400,525,서울특별시,성북구,동소문동1가,성북동
11290,13900,810,서울특별시,성북구,석관동,석관동
11290,11900,575,서울특별시,성북구,동선동4가,동선동
11290,10800,555,서울특별시,성북구,동소문동5가,삼선동
11290,11000,575,서울특별시,성북구,동소문동7가,동선동
11290,13600,385,서울특별시,성북구,하월곡동,길음제2동
11290,13700,725,서울특별시,성북구,상월곡동,월곡제2동
11290,11600,575,서울특별시,성북구,동선동1가,동선동
11290,11800,575,서울특별시,성북구,동선동3가,동선동
11290,11700,575,서울특별시,성북구,동선동2가,동선동
11290,10300,555,서울특별시,성북구,돈암동,삼선동
11290,11200,555,서울특별시,성북구,삼선동2가,삼선동
11290,10200,525,서울특별시,성북구,성북동1가,성북동
11290,13600,685,서울특별시,성북구,하월곡동,길음제2동
11380,11400,690,서울특별시,은평구,진관동,진관동
11440,10400,585,서울특별시,마포구,도화동,도화동
11440,10700,585,서울특별시,마포구,마포동,도화동
11440,11400,655,서울특별시,마포구,창전동,서강동
11440,11500,655,서울특별시,마포구,상수동,서강동
11440,11600,655,서울특별시,마포구,하중동,서강동
11440,11700,655,서울특별시,마포구,신정동,서강동
11440,11800,655,서울특별시,마포구,당인동,서강동
11140,15600,605,서울특별시,중구,입정동,을지로동
11140,15700,605,서울특별시,중구,산림동,을지로동
11140,15900,605,서울특별시,중구,초동,을지로동
11140,16000,605,서울특별시,중구,인현동1가,을지로동
11140,16100,605,서울특별시,중구,저동2가,을지로동
11140,15000,605,서울특별시,중구,을지로4가,을지로동
11140,15100,605,서울특별시,중구,을지로5가,을지로동
11140,15200,605,서울특별시,중구,주교동,을지로동
11140,15300,605,서울특별시,중구,방산동,을지로동
11140,15500,605,서울특별시,중구,을지로3가,을지로동
11740,11000,515,서울특별시,강동구,강일동,강일동
11740,10300,515,서울특별시,강동구,상일동,강일동
11740,10400,515,서울특별시,강동구,하일동,강일동
11110,15700,615,서울특별시,종로구,인의동,종로1.2.3.4가동
11110,12200,615,서울특별시,종로구,청진동,종로1.2.3.4가동
11110,12300,615,서울특별시,종로구,서린동,종로1.2.3.4가동
11110,12400,615,서울특별시,종로구,수송동,종로1.2.3.4가동
11110,12500,615,서울특별시,종로구,중학동,종로1.2.3.4가동
11110,12600,615,서울특별시,종로구,종로1가,종로1.2.3.4가동
11110,12700,615,서울특별시,종로구,공평동,종로1.2.3.4가동
11110,12800,615,서울특별시,종로구,관훈동,종로1.2.3.4가동
11110,12900,615,서울특별시,종로구,견지동,종로1.2.3.4가동
11110,13000,615,서울특별시,종로구,와룡동,종로1.2.3.4가동
11110,13100,615,서울특별시,종로구,권농동,종로1.2.3.4가동
11110,13200,615,서울특별시,종로구,운니동,종로1.2.3.4가동
11110,13300,615,서울특별시,종로구,익선동,종로1.2.3.4가동
11110,13400,615,서울특별시,종로구,경운동,종로1.2.3.4가동
11110,13500,615,서울특별시,종로구,관철동,종로1.2.3.4가동
11110,13600,615,서울특별시,종로구,인사동,종로1.2.3.4가동
11110,13700,615,서울특별시,종로구,낙원동,종로1.2.3.4가동
11110,13800,615,서울특별시,종로구,종로2가,종로1.2.3.4가동
11110,15000,615,서울특별시,종로구,훈정동,종로1.2.3.4가동
11110,15100,615,서울특별시,종로구,묘동,종로1.2.3.4가동
11110,15200,615,서울특별시,종로구,봉익동,종로1.2.3.4가동
11110,15300,615,서울특별시,종로구,돈의동,종로1.2.3.4가동
11110,15400,615,서울특별시,종로구,장사동,종로1.2.3.4가동
11110,15500,615,서울특별시,종로구,관수동,종로1.2.3.4가동
11110,15600,615,서울특별시,종로구,종로3가,종로1.2.3.4가동
11110,15800,615,서울특별시,종로구,예지동,종로1.2.3.4가동
11110,15900,615,서울특별시,종로구,원남동,종로1.2.3.4가동
11110,16100,615,서울특별시,종로구,종로4가,종로1.2.3.4가동
11410,10500,520,서울특별시,서대문구,냉천동,천연동
11410,10600,520,서울특별시,서대문구,천연동,천연동
11410,10700,520,서울특별시,서대문구,옥천동,천연동
11410,10800,520,서울특별시,서대문구,영천동,천연동
11410,10900,520,서울특별시,서대문구,현저동,천연동
11305,10100,565,서울특별시,강북구,미아동,미아제6.7동
11140,12300,540,서울특별시,중구,회현동3가,회현동
11140,11200,540,서울특별시,중구,남창동,회현동
11140,11600,540,서울특별시,중구,남대문로3가,회현동
11140,11700,540,서울특별시,중구,남대문로4가,회현동
11140,11800,540,서울특별시,중구,남대문로5가,회현동
11140,11900,540,서울특별시,중구,봉래동1가,회현동
11140,12000,540,서울특별시,중구,봉래동2가,회현동
11140,12100,540,서울특별시,중구,회현동1가,회현동
11140,12200,540,서울특별시,중구,회현동2가,회현동
11140,12400,540,서울특별시,중구,충무로1가,회현동
11140,16800,540,서울특별시,중구,순화동,회현동
11140,10100,550,서울특별시,중구,무교동,명동
11140,10200,550,서울특별시,중구,다동,명동
11140,10300,550,서울특별시,중구,태평로1가,명동
11140,10400,550,서울특별시,중구,을지로1가,명동
11140,10500,550,서울특별시,중구,을지로2가,명동
11140,10600,550,서울특별시,중구,남대문로1가,명동
11140,10700,550,서울특별시,중구,삼각동,명동
11140,10800,550,서울특별시,중구,수하동,명동
11140,10900,550,서울특별시,중구,장교동,명동
11140,11000,550,서울특별시,중구,수표동,명동
11140,11500,550,서울특별시,중구,남대문로2가,명동
11140,12100,550,서울특별시,중구,회현동1가,명동
11140,12200,550,서울특별시,중구,회현동2가,명동
11140,12300,550,서울특별시,중구,회현동3가,명동
11140,12400,550,서울특별시,중구,충무로1가,명동
11140,12500,550,서울특별시,중구,충무로2가,명동
11140,12600,550,서울특별시,중구,명동1가,명동
11140,12700,550,서울특별시,중구,명동2가,명동
11140,12800,550,서울특별시,중구,남산동1가,명동
11140,12900,550,서울특별시,중구,남산동2가,명동
11140,13000,550,서울특별시,중구,남산동3가,명동
11140,13100,550,서울특별시,중구,저동1가,명동
11140,14200,550,서울특별시,중구,예장동,명동
11140,13200,590,서울특별시,중구,충무로4가,광희동
11140,13300,590,서울특별시,중구,충무로5가,광희동
11140,13400,590,서울특별시,중구,인현동2가,광희동
11140,13500,590,서울특별시,중구,예관동,광희동
11140,14500,590,서울특별시,중구,광희동1가,광희동
11140,14600,590,서울특별시,중구,광희동2가,광희동
11140,14700,590,서울특별시,중구,쌍림동,광희동
11140,15400,590,서울특별시,중구,오장동,광희동
11140,14900,590,서울특별시,중구,을지로7가,광희동
11140,14800,590,서울특별시,중구,을지로6가,광희동
11350,10300,601,서울특별시,노원구,공릉동,공릉제3동
11710,10900,646,서울특별시,송파구,장지동,장지동
11710,10800,646,서울특별시,송파구,문정동,장지동
11260,10600,680,서울특별시,중랑구,신내동,신내1동
11260,10600,690,서울특별시,중랑구,신내동,신내2동
11500,10200,535,서울특별시,강서구,등촌동,등촌제3동
11350,10300,591,서울특별시,노원구,공릉동,공릉제1동분소
11500,10200,521,서울특별시,강서구,등촌동,등촌1동민원분소
11545,10300,670,서울특별시,금천구,시흥동,시흥제1동
11305,10100,531,서울특별시,강북구,미아동,미아제1동
11305,10100,532,서울특별시,강북구,미아동,미아제2동
11305,10100,550,서울특별시,강북구,미아동,미아제5동
11305,10100,560,서울특별시,강북구,미아동,미아제6동
11305,10100,570,서울특별시,강북구,미아동,미아제7동
11305,10100,580,서울특별시,강북구,미아동,미아제8동
11305,10100,581,서울특별시,강북구,미아동,미아제9동
11305,10200,590,서울특별시,강북구,번동,번제1동
11305,10200,600,서울특별시,강북구,번동,번제2동
11305,10200,606,서울특별시,강북구,번동,번제3동
11305,10300,610,서울특별시,강북구,수유동,수유제1동
11305,10300,620,서울특별시,강북구,수유동,수유제2동
11305,10300,630,서울특별시,강북구,수유동,수유제3동
11305,10300,650,서울특별시,강북구,수유동,수유제5동
11305,10300,651,서울특별시,강북구,수유동,수유제6동
11305,10400,640,서울특별시,강북구,우이동,수유제4동
11305,10100,533,서울특별시,강북구,미아동,미아제3동
11305,10100,540,서울특별시,강북구,미아동,미아제4동
11305,10300,640,서울특별시,강북구,수유동,수유제4동
11545,10200,615,서울특별시,금천구,독산동,독산제1동분소
11545,10100,515,서울특별시,금천구,가산동,가산동민원분소
11215,10200,740,서울특별시,광진구,능동,중곡제1동
11215,10600,845,서울특별시,광진구,노유동,노유제1동
11215,10600,846,서울특별시,광진구,노유동,노유제2동
11215,10200,860,서울특별시,광진구,능동,구의제2동
11215,10400,870,서울특별시,광진구,광장동,구의제3동
11215,10200,730,서울특별시,광진구,능동,군자동
11215,10800,710,서울특별시,광진구,모진동,화양동
11545,10100,510,서울특별시,금천구,가산동,가산동
11545,10200,610,서울특별시,금천구,독산동,독산제1동
11545,10200,620,서울특별시,금천구,독산동,독산제2동
11545,10200,630,서울특별시,금천구,독산동,독산제3동
11545,10200,640,서울특별시,금천구,독산동,독산제4동
11545,10200,650,서울특별시,금천구,독산동,독산본동
11545,10300,660,서울특별시,금천구,시흥동,시흥본동
11545,10300,680,서울특별시,금천구,시흥동,시흥제2동
11545,10300,690,서울특별시,금천구,시흥동,시흥제3동
11545,10300,700,서울특별시,금천구,시흥동,시흥제4동
11545,10300,710,서울특별시,금천구,시흥동,시흥제5동
11215,10700,710,서울특별시,광진구,화양동,화양동
11215,10900,730,서울특별시,광진구,군자동,군자동
11215,10100,740,서울특별시,광진구,중곡동,중곡제1동
11215,10100,750,서울특별시,광진구,중곡동,중곡제2동
11215,10100,760,서울특별시,광진구,중곡동,중곡제3동
11215,10100,770,서울특별시,광진구,중곡동,중곡제4동
11215,10400,810,서울특별시,광진구,광장동,광장동
11215,10500,820,서울특별시,광진구,자양동,자양제1동
11215,10500,830,서울특별시,광진구,자양동,자양제2동
11215,10300,850,서울특별시,광진구,구의동,구의제1동
11215,10300,860,서울특별시,광진구,구의동,구의제2동
11215,10300,870,서울특별시,광진구,구의동,구의제3동
11215,10500,840,서울특별시,광진구,자양동,자양제3동
11215,10200,780,서울특별시,광진구,능동,능동
11320,10600,720,서울특별시,도봉구,방학동,방학제4동
11350,10200,581,서울특별시,노원구,월계동,월계제4동
11320,10300,651,서울특별시,도봉구,수유동,수유제6동
11530,10700,765,서울특별시,구로구,개봉동,개봉본동
11500,10900,641,서울특별시,강서구,방화동,방화제3동
11500,10900,631,서울특별시,강서구,방화동,방화제1동분소
11350,10200,575,서울특별시,노원구,월계동,월계제2동분소
11500,10100,605,서울특별시,강서구,염창동,가양제3동
11500,10400,603,서울특별시,강서구,가양동,가양제1동
11500,10400,604,서울특별시,강서구,가양동,가양제2동
11500,10400,605,서울특별시,강서구,가양동,가양제3동
11500,10500,603,서울특별시,강서구,마곡동,가양제1동
11500,10400,602,서울특별시,강서구,가양동,가양동제2분소
11500,10100,601,서울특별시,강서구,염창동,가양동제1분소
11500,10400,601,서울특별시,강서구,가양동,가양동제1분소
11680,10800,521,서울특별시,강남구,논현동,논현제1동
11680,10800,531,서울특별시,강남구,논현동,논현제2동
11680,11400,720,서울특별시,강남구,일원동,일원본동
11680,11500,720,서울특별시,강남구,수서동,일원본동
11680,11400,730,서울특별시,강남구,일원동,일원제1동
11680,11500,730,서울특별시,강남구,수서동,일원제1동
11680,10600,740,서울특별시,강남구,대치동,일원제2동
11680,11400,740,서울특별시,강남구,일원동,일원제2동
11680,11500,750,서울특별시,강남구,수서동,수서동
11680,10300,740,서울특별시,강남구,개포동,일원제2동
11710,10900,643,서울특별시,송파구,장지동,문정제1동분소
11710,10800,643,서울특별시,송파구,문정동,문정제1동분소
11590,10200,561,서울특별시,동작구,상도동,상도제5동
11590,10300,561,서울특별시,동작구,상도1동,상도제5동
11620,10200,770,서울특별시,관악구,신림동,신림제13동
11200,12300,870,서울특별시,성동구,광장동,구의제3동
11200,12400,870,서울특별시,성동구,구의동,구의제3동
11590,10700,651,서울특별시,동작구,사당동,사당제5동
11650,10200,651,서울특별시,서초구,양재동,양재제1동
11650,10300,651,서울특별시,서초구,우면동,양재제1동
11650,10200,652,서울특별시,서초구,양재동,양재제2동
11650,10400,652,서울특별시,서초구,원지동,양재제2동
11350,10600,619,서울특별시,노원구,중계동,중계본동
11350,10500,624,서울특별시,노원구,상계동,중계제4동
11350,10600,624,서울특별시,노원구,중계동,중계제4동
11260,10100,571,서울특별시,중랑구,면목동,면목제8동
11710,11300,531,서울특별시,송파구,거여동,거여제1동
11710,11300,532,서울특별시,송파구,거여동,거여제2동
11710,11100,561,서울특별시,송파구,방이동,방이제1동
11710,11100,562,서울특별시,송파구,방이동,방이제2동
11140,11000,510,서울특별시,중구,수표동,태평로1가동
11140,11500,510,서울특별시,중구,남대문로2가,태평로1가동
11140,11800,530,서울특별시,중구,남대문로5가,남대문로5가동
11140,11900,530,서울특별시,중구,봉래동1가,남대문로5가동
11140,16800,530,서울특별시,중구,순화동,남대문로5가동
11140,12000,530,서울특별시,중구,봉래동2가,남대문로5가동
11140,10200,510,서울특별시,중구,다동,태평로1가동
11140,10300,510,서울특별시,중구,태평로1가,태평로1가동
11140,10600,510,서울특별시,중구,남대문로1가,태평로1가동
11140,10700,510,서울특별시,중구,삼각동,태평로1가동
11140,10500,510,서울특별시,중구,을지로2가,태평로1가동
11140,10900,510,서울특별시,중구,장교동,태평로1가동
11140,10800,510,서울특별시,중구,수하동,태평로1가동
11140,10100,510,서울특별시,중구,무교동,태평로1가동
11140,10400,510,서울특별시,중구,을지로1가,태평로1가동
11530,10400,615,서울특별시,구로구,독산동,독산제1동분소
11320,10200,606,서울특별시,도봉구,번동,번제3동
11320,10100,581,서울특별시,도봉구,미아동,미아제9동
11350,10600,623,서울특별시,노원구,중계동,중계제3동
11530,10200,565,서울특별시,구로구,구로동,구로본동
