기준년,시군명,면적 합계 (㎢),면적 구성비 (%),시·군 소계 (개),읍·면·동 소계 (개),통·리 소계 (개),출장소 소계 (개),데이터기준일자
1989,전체,16898,100,0,575,0,40,2017-10-25
1989,춘천시,53,0,0,46,0,0,2017-10-25
1989,원주시,84,1,0,36,0,0,2017-10-25
1989,강릉시,76,1,0,38,0,0,2017-10-25
1989,동해시,180,1,0,30,0,0,2017-10-25
1989,태백시,259,2,0,30,0,0,2017-10-25
1989,속초시,105,1,0,26,0,0,2017-10-25
1989,삼척시,57,0,0,12,0,0,2017-10-25
1989,홍천군,1787,11,0,30,0,5,2017-10-25
1989,횡성군,1007,6,0,27,0,2,2017-10-25
1989,영월군,1101,7,0,27,0,5,2017-10-25
1989,평창군,1460,9,0,24,0,4,2017-10-25
1989,정선군,1201,7,0,27,0,1,2017-10-25
1989,철원군,823,5,0,33,0,1,2017-10-25
1989,화천군,955,6,0,15,0,2,2017-10-25
1989,양구군,617,4,0,15,0,0,2017-10-25
1989,인제군,1937,12,0,18,0,1,2017-10-25
1989,고성군,621,4,0,18,0,1,2017-10-25
1989,양양군,623,4,0,18,0,2,2017-10-25
1990,전체,16898,100,22,381,3565,40,2017-10-25
1990,춘천시,53,0,1,52,328,0,2017-10-25
1990,원주시,84,1,1,36,305,0,2017-10-25
1990,강릉시,76,0,1,58,238,0,2017-10-25
1990,동해시,180,1,1,51,178,0,2017-10-25
1990,태백시,259,2,1,28,166,0,2017-10-25
1990,속초시,105,1,1,26,146,0,2017-10-25
1990,삼척시,57,0,1,33,83,0,2017-10-25
1990,홍천군,1787,11,1,9,182,5,2017-10-25
1990,횡성군,1008,6,1,8,171,2,2017-10-25
1990,영월군,1101,7,1,7,194,5,2017-10-25
1990,평창군,1460,9,1,7,183,4,2017-10-25
1990,정선군,1200,7,1,5,193,1,2017-10-25
1990,철원군,823,5,1,7,101,1,2017-10-25
1990,화천군,955,6,1,4,81,2,2017-10-25
1990,양구군,617,4,1,4,76,0,2017-10-25
1990,인제군,1936,12,1,5,84,1,2017-10-25
1990,고성군,621,4,1,4,125,1,2017-10-25
1990,양양군,623,4,1,5,123,2,2017-10-25
1991,전체,16898,100,22,228,3629,40,2017-10-25
1991,춘천시,53,0,1,23,344,0,2017-10-25
1991,원주시,84,1,1,18,313,0,2017-10-25
1991,강릉시,76,1,1,19,249,0,2017-10-25
1991,동해시,180,1,1,15,188,0,2017-10-25
1991,태백시,259,2,1,15,167,0,2017-10-25
1991,속초시,105,1,1,13,156,0,2017-10-25
1991,삼척시,57,0,1,6,85,0,2017-10-25
1991,홍천군,1787,11,1,10,182,5,2017-10-25
1991,횡성군,1008,6,1,9,172,2,2017-10-25
1991,영월군,1102,7,1,9,194,5,2017-10-25
1991,평창군,1460,9,1,8,183,4,2017-10-25
1991,정선군,1200,7,1,9,193,1,2017-10-25
1991,철원군,823,5,1,11,102,1,2017-10-25
1991,화천군,955,6,1,5,81,2,2017-10-25
1991,양구군,617,4,1,5,76,0,2017-10-25
1991,인제군,1936,12,1,6,85,1,2017-10-25
1991,고성군,621,4,1,6,125,1,2017-10-25
1991,양양군,623,4,1,6,123,2,2017-10-25
1992,전체,16897,100,22,222,3710,40,2017-10-25
1992,춘천시,53,0,1,23,368,0,2017-10-25
1992,원주시,84,1,1,18,344,0,2017-10-25
1992,강릉시,76,1,1,19,264,0,2017-10-25
1992,동해시,180,1,1,15,195,0,2017-10-25
1992,태백시,259,2,1,15,167,0,2017-10-25
1992,속초시,105,1,1,13,156,0,2017-10-25
1992,삼척시,56,0,1,6,85,0,2017-10-25
1992,홍천군,1787,11,1,10,182,5,2017-10-25
1992,횡성군,1008,6,1,9,172,2,2017-10-25
1992,영월군,1102,7,1,9,194,5,2017-10-25
1992,평창군,1460,9,1,8,183,4,2017-10-25
1992,정선군,1201,7,1,9,193,1,2017-10-25
1992,철원군,823,5,1,6,102,1,2017-10-25
1992,화천군,954,6,1,5,81,2,2017-10-25
1992,양구군,617,4,1,5,76,0,2017-10-25
1992,인제군,1936,12,1,6,85,1,2017-10-25
1992,고성군,622,4,1,5,125,1,2017-10-25
1992,양양군,623,4,1,6,123,2,2017-10-25
1993,전체,16897,100,22,222,3790,40,2017-10-25
1993,춘천시,53,0,1,23,394,0,2017-10-25
1993,원주시,84,1,1,18,362,0,2017-10-25
1993,강릉시,76,1,1,19,272,0,2017-10-25
1993,동해시,180,1,1,15,198,0,2017-10-25
1993,태백시,258,2,1,15,167,0,2017-10-25
1993,속초시,105,1,1,13,167,0,2017-10-25
1993,삼척시,53,0,1,6,87,0,2017-10-25
1993,홍천군,1787,11,1,10,182,5,2017-10-25
1993,횡성군,1008,6,1,9,172,2,2017-10-25
1993,영월군,1102,7,1,9,194,5,2017-10-25
1993,평창군,1461,9,1,8,183,4,2017-10-25
1993,정선군,1201,7,1,9,193,1,2017-10-25
1993,철원군,824,5,1,6,102,1,2017-10-25
1993,화천군,954,6,1,5,81,2,2017-10-25
1993,양구군,619,4,1,5,76,0,2017-10-25
1993,인제군,1936,12,1,6,88,1,2017-10-25
1993,고성군,622,4,1,5,127,1,2017-10-25
1993,양양군,623,4,1,6,125,2,2017-10-25
1994,전체,16870,100,0,0,0,0,2017-10-25
1994,춘천시,53,0,0,0,0,0,2017-10-25
1994,원주시,84,1,0,0,0,0,2017-10-25
1994,강릉시,76,0,0,0,0,0,2017-10-25
1994,동해시,180,1,0,0,0,0,2017-10-25
1994,태백시,303,2,0,0,0,0,2017-10-25
1994,속초시,105,1,0,0,0,0,2017-10-25
1994,삼척시,53,0,0,0,0,0,2017-10-25
1994,홍천군,1819,11,0,0,0,0,2017-10-25
1994,횡성군,998,6,0,0,0,0,2017-10-25
1994,영월군,1127,7,0,0,0,0,2017-10-25
1994,평창군,1463,9,0,0,0,0,2017-10-25
1994,정선군,1221,7,0,0,0,0,2017-10-25
1994,철원군,823,5,0,0,0,0,2017-10-25
1994,화천군,909,5,0,0,0,0,2017-10-25
1994,양구군,619,4,0,0,0,0,2017-10-25
1994,인제군,1845,11,0,0,0,0,2017-10-25
1994,고성군,622,4,0,0,0,0,2017-10-25
1994,양양군,628,4,0,0,0,0,2017-10-25
1995,전체,16873,100,18,327,2772,40,2017-10-25
1995,춘천시,1117,7,1,63,689,5,2017-10-25
1995,원주시,866,5,1,46,639,4,2017-10-25
1995,강릉시,1040,6,1,67,527,3,2017-10-25
1995,동해시,180,1,1,51,210,3,2017-10-25
1995,태백시,303,2,1,33,164,3,2017-10-25
1995,속초시,105,1,1,26,193,3,2017-10-25
1995,삼척시,1186,7,1,41,350,3,2017-10-25
1995,홍천군,1819,11,1,0,0,5,2017-10-25
1995,횡성군,998,6,1,0,0,2,2017-10-25
1995,영월군,1127,7,1,0,0,5,2017-10-25
1995,평창군,1463,9,1,0,0,4,2017-10-25
1995,정선군,1221,7,1,0,0,1,2017-10-25
1995,철원군,900,5,1,0,0,1,2017-10-25
1995,화천군,909,5,1,0,0,2,2017-10-25
1995,양구군,701,4,1,0,0,0,2017-10-25
1995,인제군,1646,10,1,0,0,1,2017-10-25
1995,고성군,664,4,1,0,0,1,2017-10-25
1995,양양군,629,4,1,0,0,2,2017-10-25
1996,전체,16874,100,18,35,2817,38,2017-10-25
1996,춘천시,1117,7,1,10,689,5,2017-10-25
1996,원주시,868,5,1,9,653,4,2017-10-25
1996,강릉시,1040,6,1,8,534,4,2017-10-25
1996,동해시,180,1,1,0,224,0,2017-10-25
1996,태백시,303,2,1,0,160,0,2017-10-25
1996,속초시,105,1,1,0,203,0,2017-10-25
1996,삼척시,1186,7,1,8,354,3,2017-10-25
1996,홍천군,1819,11,1,0,0,5,2017-10-25
1996,횡성군,998,6,1,0,0,2,2017-10-25
1996,영월군,1127,7,1,0,0,3,2017-10-25
1996,평창군,1463,9,1,0,0,4,2017-10-25
1996,정선군,1221,7,1,0,0,1,2017-10-25
1996,철원군,900,5,1,0,0,1,2017-10-25
1996,화천군,909,5,1,0,0,2,2017-10-25
1996,양구군,701,4,1,0,0,0,2017-10-25
1996,인제군,1646,10,1,0,0,1,2017-10-25
1996,고성군,664,4,1,0,0,1,2017-10-25
1996,양양군,629,4,1,0,0,2,2017-10-25
1997,전체,16874,100,18,327,2895,36,2017-10-25
1997,춘천시,1116,7,1,63,712,4,2017-10-25
1997,원주시,868,5,1,46,675,3,2017-10-25
1997,강릉시,1040,6,1,67,550,4,2017-10-25
1997,동해시,180,1,1,51,229,0,2017-10-25
1997,태백시,304,2,1,33,160,0,2017-10-25
1997,속초시,105,1,1,26,213,0,2017-10-25
1997,삼척시,1186,7,1,41,356,3,2017-10-25
1997,홍천군,1818,11,1,0,0,5,2017-10-25
1997,횡성군,998,6,1,0,0,2,2017-10-25
1997,영월군,1128,7,1,0,0,3,2017-10-25
1997,평창군,1463,9,1,0,0,4,2017-10-25
1997,정선군,1221,7,1,0,0,1,2017-10-25
1997,철원군,899,5,1,0,0,1,2017-10-25
1997,화천군,909,5,1,0,0,2,2017-10-25
1997,양구군,701,4,1,0,0,0,2017-10-25
1997,인제군,1646,10,1,0,0,1,2017-10-25
1997,고성군,664,4,1,0,0,1,2017-10-25
1997,양양군,629,4,1,0,0,2,2017-10-25
1998,전체,16874,100,18,187,4178,8,2017-10-25
1998,춘천시,1116,7,1,25,657,0,2017-10-25
1998,원주시,868,5,1,25,630,0,2017-10-25
1998,강릉시,1040,6,1,21,498,0,2017-10-25
1998,동해시,180,1,1,10,232,0,2017-10-25
1998,태백시,304,2,1,8,162,0,2017-10-25
1998,속초시,105,1,1,8,226,0,2017-10-25
1998,삼척시,1186,7,1,12,255,3,2017-10-25
1998,홍천군,1818,11,1,10,188,0,2017-10-25
1998,횡성군,998,6,1,9,172,0,2017-10-25
1998,영월군,1127,7,1,9,188,1,2017-10-25
1998,평창군,1463,9,1,8,185,1,2017-10-25
1998,정선군,1221,7,1,9,186,1,2017-10-25
1998,철원군,899,5,1,6,106,1,2017-10-25
1998,화천군,909,5,1,5,81,0,2017-10-25
1998,양구군,701,4,1,5,77,0,2017-10-25
1998,인제군,1646,10,1,6,84,1,2017-10-25
1998,고성군,664,4,1,5,127,0,2017-10-25
1998,양양군,629,4,1,6,124,0,2017-10-25
1999,전체,16874,100,18,187,4214,10,2017-10-25
1999,춘천시,1116,7,1,25,670,0,2017-10-25
1999,원주시,868,5,1,25,632,3,2017-10-25
1999,강릉시,1040,6,1,21,511,1,2017-10-25
1999,동해시,180,1,1,10,250,0,2017-10-25
1999,태백시,304,2,1,8,162,0,2017-10-25
1999,속초시,105,1,1,8,226,0,2017-10-25
1999,삼척시,1186,7,1,12,255,1,2017-10-25
1999,홍천군,1818,11,1,10,188,0,2017-10-25
1999,횡성군,998,6,1,9,172,0,2017-10-25
1999,영월군,1127,7,1,9,184,1,2017-10-25
1999,평창군,1463,9,1,8,185,1,2017-10-25
1999,정선군,1221,7,1,9,180,1,2017-10-25
1999,철원군,899,5,1,6,106,1,2017-10-25
1999,화천군,909,5,1,5,81,0,2017-10-25
1999,양구군,701,4,1,5,77,0,2017-10-25
1999,인제군,1646,10,1,6,84,1,2017-10-25
1999,고성군,665,4,1,5,127,0,2017-10-25
1999,양양군,629,4,1,6,124,0,2017-10-25
2000,전체,16874,100,18,187,4263,7,2017-10-25
2000,춘천시,1116,7,1,25,672,0,2017-10-25
2000,원주시,868,5,1,25,664,0,2017-10-25
2000,강릉시,1040,6,1,21,514,1,2017-10-25
2000,동해시,180,1,1,10,250,0,2017-10-25
2000,태백시,304,2,1,8,162,0,2017-10-25
2000,속초시,105,1,1,8,235,0,2017-10-25
2000,삼척시,1186,7,1,12,255,1,2017-10-25
2000,홍천군,1818,11,1,10,188,0,2017-10-25
2000,횡성군,998,6,1,9,172,0,2017-10-25
2000,영월군,1127,7,1,9,184,1,2017-10-25
2000,평창군,1464,9,1,8,187,1,2017-10-25
2000,정선군,1221,7,1,9,180,1,2017-10-25
2000,철원군,899,5,1,6,107,1,2017-10-25
2000,화천군,909,5,1,5,81,0,2017-10-25
2000,양구군,701,4,1,5,77,0,2017-10-25
2000,인제군,1646,10,1,6,84,1,2017-10-25
2000,고성군,664,4,1,5,127,0,2017-10-25
2000,양양군,629,4,1,6,124,0,2017-10-25
2001,전체,16873,100,18,187,4281,7,2017-10-25
2001,춘천시,1116,7,1,25,672,0,2017-10-25
2001,원주시,868,5,1,25,675,0,2017-10-25
2001,강릉시,1040,6,1,21,515,1,2017-10-25
2001,동해시,180,1,1,10,250,0,2017-10-25
2001,태백시,304,2,1,8,165,0,2017-10-25
2001,속초시,105,1,1,8,235,0,2017-10-25
2001,삼척시,1186,7,1,12,254,1,2017-10-25
2001,홍천군,1820,11,1,10,192,0,2017-10-25
2001,횡성군,998,6,1,9,172,0,2017-10-25
2001,영월군,1127,7,1,9,184,1,2017-10-25
2001,평창군,1464,9,1,8,187,1,2017-10-25
2001,정선군,1221,7,1,9,180,1,2017-10-25
2001,철원군,899,5,1,6,107,1,2017-10-25
2001,화천군,909,5,1,5,81,0,2017-10-25
2001,양구군,701,4,1,5,77,0,2017-10-25
2001,인제군,1646,10,1,6,84,1,2017-10-25
2001,고성군,664,4,1,5,127,0,2017-10-25
2001,양양군,629,4,1,6,124,0,2017-10-25
2002,전체,16873,100,18,187,4336,7,2017-10-25
2002,춘천시,1116,7,1,25,695,0,2017-10-25
2002,원주시,867,5,1,25,692,0,2017-10-25
2002,강릉시,1040,6,1,21,520,1,2017-10-25
2002,동해시,180,1,1,10,251,0,2017-10-25
2002,태백시,304,2,1,8,168,0,2017-10-25
2002,속초시,105,1,1,8,239,0,2017-10-25
2002,삼척시,1186,7,1,12,255,1,2017-10-25
2002,홍천군,1818,11,1,10,192,0,2017-10-25
2002,횡성군,998,6,1,9,173,0,2017-10-25
2002,영월군,1127,7,1,9,184,1,2017-10-25
2002,평창군,1464,9,1,8,187,1,2017-10-25
2002,정선군,1221,7,1,9,180,1,2017-10-25
2002,철원군,899,5,1,6,107,1,2017-10-25
2002,화천군,909,5,1,5,81,0,2017-10-25
2002,양구군,701,4,1,5,77,0,2017-10-25
2002,인제군,1646,10,1,6,84,1,2017-10-25
2002,고성군,664,4,1,5,127,0,2017-10-25
2002,양양군,629,4,1,6,124,0,2017-10-25
2003,전체,16873,100,18,187,4260,7,2017-10-25
2003,춘천시,1116,7,1,25,600,0,2017-10-25
2003,원주시,867,5,1,25,699,0,2017-10-25
2003,강릉시,1040,6,1,21,522,1,2017-10-25
2003,동해시,180,1,1,10,253,0,2017-10-25
2003,태백시,304,2,1,8,172,0,2017-10-25
2003,속초시,105,1,1,8,241,0,2017-10-25
2003,삼척시,1186,7,1,12,255,1,2017-10-25
2003,홍천군,1818,11,1,10,192,0,2017-10-25
2003,횡성군,998,6,1,9,174,0,2017-10-25
2003,영월군,1127,7,1,9,184,1,2017-10-25
2003,평창군,1464,9,1,8,188,1,2017-10-25
2003,정선군,1221,7,1,9,180,1,2017-10-25
2003,철원군,899,5,1,6,107,1,2017-10-25
2003,화천군,909,5,1,5,81,0,2017-10-25
2003,양구군,701,4,1,5,77,0,2017-10-25
2003,인제군,1646,10,1,6,84,1,2017-10-25
2003,고성군,664,4,1,5,127,0,2017-10-25
2003,양양군,629,4,1,6,124,0,2017-10-25
2004,전체,16873,100,18,187,4007,7,2017-10-25
